
9:47:32 AM, mexc: 0.004099, lbank: 0.00397, spread:0.000129, percent: 3.25%
9:47:34 AM, mexc: 0.004099, lbank: 0.00399, spread:0.000109, percent: 2.73%
9:47:37 AM, mexc: 0.004099, lbank: 0.00398, spread:0.000119, percent: 2.99%
9:47:46 AM, mexc: 0.004099, lbank: 0.00397, spread:0.000129, percent: 3.25%
9:47:46 AM, mexc: 0.004093, lbank: 0.00397, spread:0.000123, percent: 3.1%
9:47:49 AM, mexc: 0.004093, lbank: 0.00398, spread:0.000113, percent: 2.84%
9:47:52 AM, mexc: 0.004092, lbank: 0.00398, spread:0.000112, percent: 2.81%
9:47:52 AM, mexc: 0.004085, lbank: 0.00398, spread:0.000105, percent: 2.64%
9:47:58 AM, mexc: 0.004085, lbank: 0.00397, spread:0.000115, percent: 2.9%
9:48:03 AM, mexc: 0.004079, lbank: 0.00397, spread:0.000109, percent: 2.75%
9:48:04 AM, mexc: 0.004079, lbank: 0.00398, spread:0.000099, percent: 2.49%
9:48:07 AM, mexc: 0.004079, lbank: 0.00397, spread:0.000109, percent: 2.75%
9:48:10 AM, mexc: 0.004079, lbank: 0.00398, spread:0.000099, percent: 2.49%
9:48:13 AM, mexc: 0.004073, lbank: 0.00398, spread:0.000093, percent: 2.34%
9:48:15 AM, mexc: 0.004073, lbank: 0.00399, spread:0.000083, percent: 2.08%
9:48:19 AM, mexc: 0.004073, lbank: 0.00398, spread:0.000093, percent: 2.34%
9:48:21 AM, mexc: 0.004068, lbank: 0.00398, spread:0.000088, percent: 2.21%
9:48:22 AM, mexc: 0.004068, lbank: 0.00397, spread:0.000098, percent: 2.47%
9:48:28 AM, mexc: 0.004068, lbank: 0.00398, spread:0.000088, percent: 2.21%
9:48:31 AM, mexc: 0.004068, lbank: 0.00399, spread:0.000078, percent: 1.95%
9:48:34 AM, mexc: 0.004068, lbank: 0.00398, spread:0.000088, percent: 2.21%
9:48:35 AM, mexc: 0.004069, lbank: 0.00398, spread:0.000089, percent: 2.24%
9:48:36 AM, mexc: 0.00404, lbank: 0.00398, spread:0.00006, percent: 1.51%
9:48:43 AM, mexc: 0.00404, lbank: 0.004, spread:0.00004, percent: 1%
9:48:43 AM, mexc: 0.004081, lbank: 0.004, spread:0.000081, percent: 2.03%
9:48:46 AM, mexc: 0.004081, lbank: 0.00397, spread:0.000111, percent: 2.8%
9:48:49 AM, mexc: 0.004081, lbank: 0.00398, spread:0.000101, percent: 2.54%
9:48:56 AM, mexc: 0.00404, lbank: 0.00398, spread:0.00006, percent: 1.51%
9:48:56 AM, mexc: 0.003966, lbank: 0.00398, spread:0.000014, percent: 0.35%
9:49:04 AM, mexc: 0.00402, lbank: 0.00398, spread:0.00004, percent: 1.01%
9:49:04 AM, mexc: 0.00402, lbank: 0.00401, spread:0.00001, percent: 0.25%
9:49:07 AM, mexc: 0.00402, lbank: 0.00399, spread:0.00003, percent: 0.75%
9:49:10 AM, mexc: 0.004036, lbank: 0.00399, spread:0.000046, percent: 1.15%
9:49:11 AM, mexc: 0.00404, lbank: 0.00399, spread:0.00005, percent: 1.25%
9:49:13 AM, mexc: 0.00404, lbank: 0.004, spread:0.00004, percent: 1%
9:49:16 AM, mexc: 0.004043, lbank: 0.004, spread:0.000043, percent: 1.07%
9:49:16 AM, mexc: 0.004043, lbank: 0.00399, spread:0.000053, percent: 1.33%
9:49:21 AM, mexc: 0.004043, lbank: 0.004, spread:0.000043, percent: 1.07%
9:49:22 AM, mexc: 0.004043, lbank: 0.00399, spread:0.000053, percent: 1.33%
9:49:24 AM, mexc: 0.00406, lbank: 0.00399, spread:0.00007, percent: 1.75%
9:49:24 AM, mexc: 0.00407, lbank: 0.00399, spread:0.00008, percent: 2.01%
9:49:25 AM, mexc: 0.00407, lbank: 0.00397, spread:0.0001, percent: 2.52%
9:49:34 AM, mexc: 0.004099, lbank: 0.00397, spread:0.000129, percent: 3.25%
9:49:34 AM, mexc: 0.0041, lbank: 0.00397, spread:0.00013, percent: 3.27%
9:49:36 AM, mexc: 0.004099, lbank: 0.00397, spread:0.000129, percent: 3.25%
9:49:40 AM, mexc: 0.004105, lbank: 0.00397, spread:0.000135, percent: 3.4%
9:49:40 AM, mexc: 0.004099, lbank: 0.00397, spread:0.000129, percent: 3.25%
9:49:40 AM, mexc: 0.004092, lbank: 0.00397, spread:0.000122, percent: 3.07%
9:49:48 AM, mexc: 0.004092, lbank: 0.00398, spread:0.000112, percent: 2.81%
9:49:49 AM, mexc: 0.004092, lbank: 0.00397, spread:0.000122, percent: 3.07%
9:49:51 AM, mexc: 0.004092, lbank: 0.00398, spread:0.000112, percent: 2.81%
9:49:52 AM, mexc: 0.004117, lbank: 0.00398, spread:0.000137, percent: 3.44%
9:49:52 AM, mexc: 0.00415, lbank: 0.00398, spread:0.00017, percent: 4.27%
9:49:52 AM, mexc: 0.00415, lbank: 0.00397, spread:0.00018, percent: 4.53%
9:49:53 AM, mexc: 0.004147, lbank: 0.00397, spread:0.000177, percent: 4.46%
9:49:53 AM, mexc: 0.004147, lbank: 0.00398, spread:0.000167, percent: 4.2%
9:49:54 AM, mexc: 0.004147, lbank: 0.00399, spread:0.000157, percent: 3.93%
9:49:54 AM, mexc: 0.004137, lbank: 0.00399, spread:0.000147, percent: 3.68%
9:49:54 AM, mexc: 0.004095, lbank: 0.00399, spread:0.000105, percent: 2.63%
9:49:54 AM, mexc: 0.004088, lbank: 0.00402, spread:0.000068, percent: 1.69%
9:49:54 AM, mexc: 0.004082, lbank: 0.00402, spread:0.000062, percent: 1.54%
9:49:54 AM, mexc: 0.004082, lbank: 0.00404, spread:0.000042, percent: 1.04%
9:49:55 AM, mexc: 0.004081, lbank: 0.00404, spread:0.000041, percent: 1.01%
9:49:55 AM, mexc: 0.004063, lbank: 0.00404, spread:0.000023, percent: 0.57%
